"event","name","country","medal","day","win","sport","gender","type"
"Women's Up to 79.00 kg","MAHMUDAH SITI","Indonesia","Gold",6,1,"Powerlifting","Women","Singles"
"Women's Up to 86.00 kg","WIDIASIH NI NENGAH","Indonesia","Gold",6,1,"Powerlifting","Women","Singles"
"Women's Up to 86.00 kg","SYED AKIL SYARIFAH RAUDZHAH","Malaysia","Silver",6,1,"Powerlifting","Women","Singles"
"Women's Up to 86.00 kg","ROSLI NOORMYRA","Malaysia","Bronze",6,1,"Powerlifting","Women","Singles"
"2.3 Women","YAP QIAN YIN","Singapore","Gold",6,1,"Sailing","Women","Singles"
"2.3 Women","CHERRIE SAMONTE PINPIN","Philippines","Silver",6,1,"Sailing","Women","Singles"
"2.3 Women","CLYTIE ORENCIO BERNARDO","Philippines","Bronze",6,1,"Sailing","Women","Singles"
"303","","Singapore","Gold",6,1,"Sailing","Mixed","Team"
"303","","Malaysia","Silver",6,1,"Sailing","Mixed","Team"
"303","","Singapore","Bronze",6,1,"Sailing","Mixed","Team"
"Men's 200M Individual Medley - SM10","FRAIDDEN DAWAN","Malaysia","Gold",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM10","MUSA MANDAN KARUBABA","Indonesia","Silver",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM10","AUNG PHONE","Myanmar","Bronze",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM11","PANOM LAGSANAPRIM","Thailand","Gold",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM11","KRITAPHAT WITIDKASEMROT","Thailand","Silver",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM11","IBERAMSYAH","Indonesia","Bronze",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM14","YOONG CHUNG WEI","Malaysia","Gold",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM14","TAY WEI SIANG LAWRENCE","Singapore","Silver",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM14","HAN LIANG CHOU","Singapore","Bronze",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM6 (SM5-SM6)","NAING SIT AUNG","Myanmar","Gold",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM6 (SM5-SM6)","AUNG MYINT MYAT","Myanmar","Silver",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM6 (SM5-SM6)","DO THANH HAI","Vietnam","Bronze",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM8 (SM7-SM8)","ERNIE AGAT GAWILAN","Philippines","Gold",6,1,"Swimming","Men","Singles"
"Men's 200M Individual Medley - SM8 (SM7-SM8)","GUNTUR","Indonesia","Silver",6,1,"Swimming","Men","Singles"
